,product.id,model,description,price
72,73,F-Si 3,Mountain - Cross Country Race - Aluminum,1840
73,74,Fat CAAD1,Mountain - Fat Bike - Aluminum,3730
74,75,Fat CAAD2,Mountain - Fat Bike - Aluminum,2130
75,76,Beast of the East 1,Mountain - Trail - Aluminum,2770
76,77,Beast of the East 2,Mountain - Trail - Aluminum,2130
77,78,Beast of the East 3,Mountain - Trail - Aluminum,1620
78,79,Bad Habit 1,Mountain - Trail - Aluminum,3200
79,80,Bad Habit 2,Mountain - Trail - Aluminum,2660
80,81,Habit Hi-Mod Black Inc.,Mountain - Trail - Carbon,12250
81,82,Habit Carbon 1,Mountain - Trail - Carbon,7460
82,83,Habit Carbon 2,Mountain - Trail - Carbon,5330
83,84,Habit Carbon SE,Mountain - Trail - Carbon,4480
84,85,Habit Carbon 3,Mountain - Trail - Carbon,3730
85,86,Habit 4,Mountain - Trail - Aluminum,2880
86,87,Habit 5,Mountain - Trail - Aluminum,2340
87,88,Habit 6,Mountain - Trail - Aluminum,1950
88,89,Trail 1,Mountain - Sport - Aluminum,1520
89,90,Trail 2,Mountain - Sport - Aluminum,1350
90,91,Trail 3,Mountain - Sport - Aluminum,1080
91,92,Trail 4,Mountain - Sport - Aluminum,980
92,93,Trail 5,Mountain - Sport - Aluminum,815
93,94,Catalyst 1,Mountain - Sport - Aluminum,705
94,95,Catalyst 2,Mountain - Sport - Aluminum,585
95,96,Catalyst 3,Mountain - Sport - Aluminum,480
96,97,Catalyst 4,Mountain - Sport - Aluminum,415
